종명,접수일시,도로유형,도로명
개,2021-01-01,국도,7
고라니,2021-01-01,국도,46
너구리,2021-01-02,국도,7
너구리,2021-01-03,국도,6
고라니,2021-01-03,국도,7
고양이,2021-01-04,국도,7
고라니,2021-01-04,국도,7
미동정(포유류),2021-01-04,국도,39
고양이,2021-01-04,국도,5
고양이,2021-01-04,국도,7
미동정(포유류),2021-01-04,국도,25
담비,2021-01-04,국도,31
고양이,2021-01-04,국도,7
고양이,2021-01-04,국도,5
미동정(포유류),2021-01-04,국도,4
고양이,2021-01-04,국도,1
고양이,2021-01-04,국도,4
고양이,2021-01-04,국도,26
고라니,2021-01-04,국도,23
고양이,2021-01-04,국도,7
미동정(조류),2021-01-04,국도,35
고라니,2021-01-04,국도,1
고라니,2021-01-04,국도,20
고라니,2021-01-04,국도,21
고라니,2021-01-04,국도,28
삵,2021-01-04,국도,7
미동정(조류),2021-01-04,국도,4
고양이,2021-01-04,국도,45
고라니,2021-01-04,국도,25
고라니,2021-01-04,국도,44
미동정(포유류),2021-01-05,국도,7
고라니,2021-01-05,국도,44
미동정(포유류),2021-01-05,국도,25
고라니,2021-01-05,국도,25
고양이,2021-01-05,국도,31
고양이,2021-01-05,국도,29
고양이,2021-01-05,국도,29
미동정(조류),2021-01-05,국도,13
고라니,2021-01-05,국도,14
노루,2021-01-05,국도,18
고라니,2021-01-05,국도,5
고라니,2021-01-05,국도,1
미동정(포유류),2021-01-05,국도,4
고라니,2021-01-05,국도,1
고양이,2021-01-05,국도,20
고라니,2021-01-05,국도,4
고양이,2021-01-05,국도,35
고양이,2021-01-05,국도,3
고라니,2021-01-05,국도,18
미동정(포유류),2021-01-05,국도,31
미동정(포유류),2021-01-06,국도,38
고양이,2021-01-06,국도,25
삵,2021-01-06,국도,7
고라니,2021-01-06,국도,59
고양이,2021-01-06,국도,38
고양이,2021-01-06,국도,38
고양이,2021-01-06,국도,36
너구리,2021-01-06,국도,5
고양이,2021-01-06,국도,13
고양이,2021-01-07,국도,7
고라니,2021-01-07,국도,25
미동정(포유류),2021-01-07,국도,43
삵,2021-01-08,국도,22
삵,2021-01-10,국도,44
고라니,2021-01-11,국도,1
고양이,2021-01-11,국도,23
고라니,2021-01-11,국도,4
꿩,2021-01-11,국도,7
고라니,2021-01-11,국도,36
고라니,2021-01-11,국도,1
미동정(조류),2021-01-11,국도,38
고라니,2021-01-11,국도,21
미동정(포유류),2021-01-11,국도,42
고라니,2021-01-12,국도,45
고라니,2021-01-12,국도,23
고라니,2021-01-12,국도,23
고양이,2021-01-12,국도,3
고라니,2021-01-12,국도,23
고라니,2021-01-12,국도,45
고라니,2021-01-12,국도,21
미동정(포유류),2021-01-13,국도,3
고라니,2021-01-13,국도,24
미동정(포유류),2021-01-13,국도,21
고양이,2021-01-13,국도,29
꿩,2021-01-13,국도,3
고양이,2021-01-13,국도,14
미동정(포유류),2021-01-13,국도,13
고양이,2021-01-13,국도,13
미동정(포유류),2021-01-13,국도,4
고양이,2021-01-13,국도,7
고양이,2021-01-14,국도,38
고라니,2021-01-14,국도,7
꿩,2021-01-14,국도,24
황조롱이,2021-01-14,국도,45
너구리,2021-01-14,국도,46
족제비,2021-01-14,국도,38
고라니,2021-01-14,국도,36
고양이,2021-01-14,국도,13
고양이,2021-01-14,국도,7
개,2021-01-14,국도,13
고라니,2021-01-14,국도,22
고라니,2021-01-14,국도,6
고라니,2021-01-14,국도,38
고양이,2021-01-14,국도,38
고라니,2021-01-14,국도,3
고라니,2021-01-14,국도,3
고라니,2021-01-15,국도,15
고라니,2021-01-15,국도,23
고양이,2021-01-15,국도,43
고라니,2021-01-15,국도,1
고라니,2021-01-15,국도,32
고라니,2021-01-15,국도,4
삵,2021-01-15,국도,1
너구리,2021-01-15,국도,4
미동정(포유류),2021-01-16,국도,31
고라니,2021-01-18,국도,20
고라니,2021-01-18,국도,18
고양이,2021-01-18,국도,18
개,2021-01-19,국도,1
미동정(포유류),2021-01-19,국도,13
미동정(포유류),2021-01-19,국도,31
고양이,2021-01-19,국도,7
고양이,2021-01-19,국도,5
삵,2021-01-19,국도,29
삵,2021-01-19,국도,29
고양이,2021-01-20,국도,7
고양이,2021-01-20,국도,33
미동정(포유류),2021-01-20,국도,42
너구리,2021-01-20,국도,33
고양이,2021-01-20,국도,5
삵,2021-01-20,국도,13
너구리,2021-01-20,국도,37
너구리,2021-01-20,국도,38
