종명,접수일시,도로유형,도로명
고라니,2019-12-31,고속국도(재정),동해고속도로
고라니,2019-12-31,고속국도(재정),동해고속도로
고라니,2019-12-31,고속국도(재정),동해고속도로
고라니,2019-12-31,시도,장수로
고양이,2019-12-31,국도,강원남로
고라니,2019-12-31,고속국도(재정),동해고속도로
고라니,2019-12-31,국도,일반국도1호선
고라니,2019-12-31,국도,일반국도14호선
고라니,2019-12-31,국도,일반국도23호선
고라니,2019-12-31,국도,일반국도42호선
고라니,2019-12-31,국도,일반국도36호선
너구리,2019-12-31,시도,삼진의거대로
고라니,2019-12-31,국도,일반국도42호선
고라니,2019-12-31,국도,일반국도23호선
고라니,2019-12-31,고속국도(재정),군포로
고라니,2019-12-31,국도,43
고라니,2019-12-31,지방도,대호만로
고라니,2019-12-31,고속국도(재정),익산포항고속도로
노루,2019-12-31,지방도,지방도1119호선
노루,2019-12-31,지방도,지방도1119호선
고라니,2019-12-31,국도,일반국도1호선
고양이,2019-12-31,국도,6
고라니,2019-12-31,국도,6
고라니,2019-12-31,국도,일반국도30호선
미동정(포유류),2019-12-31,국도,일반국도38호선
고양이,2019-12-31,시도,남부로
고라니,2019-12-31,국도,일반국도38호선
고양이,2019-12-31,국도,경북대로
미동정(포유류),2019-12-31,국도,강원남로
미동정(포유류),2019-12-31,국도,강원남로
고라니,2019-12-30,고속국도(재정),익산포항고속도로
개,2019-12-30,고속국도(재정),익산포항고속도로
개,2019-12-30,국도,일반국도14호선
고라니,2019-12-30,국도,일반국도14호선
개,2019-12-30,국도,일반국도14호선
고라니,2019-12-30,국도,일반국도1호선
미동정(포유류),2019-12-30,국도,일반국도77호선
고라니,2019-12-30,국도,진성로
고양이,2019-12-30,국도,변산로
고라니,2019-12-30,고속국도(민자),평택음성고속도로
꿩,2019-12-30,국도,진성로
고라니,2019-12-30,국도,진성로
고라니,2019-12-30,국도,일반국도36호선
삵,2019-12-30,국도,일반국도30호선
고라니,2019-12-30,국도,일반국도13호선
개,2019-12-30,국도,일반국도13호선
고라니,2019-12-30,국도,일반국도3호선
미동정(포유류),2019-12-30,국도,칠갑산1로
고라니,2019-12-30,국도,칠갑산로
고라니,2019-12-30,고속국도(재정),영동고속도로
고양이,2019-12-30,고속국도(재정),익산포항고속도로
고라니,2019-12-30,고속국도(재정),중부고속도로
고라니,2019-12-30,국도,일반국도3호선
고라니,2019-12-30,국도,신초평로
